1,Linear Polariser,,,,,,,,,,,
2,Degree of rotation,Intensity (V),Adjusted intensity (V),Peak to Peak (mV),,Adjusted Angle (°),I (V),Linearised Data,,,,
3,0,4.49,2.7,80,11.7,0,11.7,8.78,,,,8.775
4,30,1.92,0.1,80,9,30,9,5.85,,,,5.85
5,60,4.69,2.9,400,2.9,60,2.9,1.3E-15,,,,1.29896E-15
6,90,10.7,8.9,600,0,90,0,-2.93,,,,-2.925
7,120,13.5,11.7,600,2.9,120,2.9,-2.6E-15,,,,-2.59792E-15
8,150,10.8,9,400,9,150,9,5.85,,,,5.85
9,180,4.77,2.9,80,11.6,180,11.6,8.78,,,,8.775
10,210,1.83,0,20,8.8,210,8.8,5.85,,,,5.85
11,240,4.75,2.9,160,2.7,240,2.7,4.55E-15,,,,4.54636E-15
12,270,10.8,9,600,0.1,270,0.1,-2.93,,,,-2.925
13,300,13.4,11.6,600,2.9,300,2.9,9.74E-16,,,,9.74221E-16
14,330,10.6,8.8,600,8.9,330,8.9,5.85,,,,5.85
15,,,,,,,,,,,,
16,Half wave plate,,,,,,,,,,,
17,Degree of rotation,Intensity (V),Adjusted intensity (V),Peak to Peak (mV),,,,,,,,
18,125,13,11.1,600,,,,,,,,
19,135,13.4,11.5,600,,,,,,,,
20,145,11.3,9.4,600,,,,,,,,
21,155,7.51,5.6,600,,,,,,,,
22,165,3.58,1.7,80,,,,,,,,
23,175,1.89,0,80,,,,,,,,
24,185,2.96,1.1,80,,,,,,,,
25,195,6.09,4.2,80,,,,,,,,
26,205,10.6,8.7,600,,,,,,,,
27,215,13.2,11.3,600,,,,,,,,
28,,,,,,,,,,,,
29,Quarter wave plate,,,,,,,,,,,
30,Degree of rotation,Intensity (V),Adjusted intensity (V),Peak to Peak (mV),,,,,,,,
31,125,7.07,5.2,600,,,,,,,,
32,135,5.98,4.1,80,,,,,,,,
33,145,6.72,4.8,160,,,,,,,,
34,155,9.1,7.21,600,,,,,,,,
35,165,11.4,9.51,800,,,,,,,,
36,175,12.8,10.9,400,,,,,,,,
37,185,13.1,11.2,600,,,,,,,,
38,195,12,10.1,600,,,,,,,,
39,205,10.7,8.8,600,,,,,,,,
40,215,9.8,7.9,400,,,,,,,,
41,,,,,,,,,,,,
42,,,,,,,,,,,,
,Note: The uncertainty for this data comes from the experimental setup. The data shown here is the average of the trials completed.,,,,,,,,,,,
,,,,,,,,,,,,
,Extended Experiment,,,,,,,,,,,
,"Orientation H,Q",Intensity (V),Adjusted intensity (V),Peak to Peak (mV),,,,,,,,
,"Horizontal 45,0",0,0,600,,,,,,,,
,"Vertical 0,0",12.5,12.5,40,,,,,,,,
,"Diagonal 22.5,45",6,6,600,,,,,,,,
,"Anti-diagonal -22.5,-45",5.8,5.8,600,,,,,,,,
,"Right 0,45",0.7,0.7,600,,,,,,,,
,"Left 0,-45",12.5,12.5,160,,,,,,,,
,,,,,,,,,,,,
,NB: Intensity is already adjusted,,,,,,,,,,,
