Linear Polariser,,,,,,,,,,,
Degree of rotation,Intensity (V),Adjusted intensity (V),Peak to Peak (mV),,Adjusted Angle (°),I(V),Linearised,,,,
0,4.49,2.7,80,11.7,0,11.7,8.78,,,,8.775
30,1.92,0.1,80,9,30,9,5.85,,,,5.85
60,4.69,2.9,400,2.9,60,2.9,1.3E-15,,,,1.29896E-15
90,10.7,8.9,600,0,90,0,-2.93,,,,-2.925
120,13.5,11.7,600,2.9,120,2.9,-2.6E-15,,,,-2.59792E-15
150,10.8,9,400,9,150,9,5.85,,,,5.85
180,4.77,2.9,80,11.6,180,11.6,8.78,,,,8.775
210,1.83,0,20,8.8,210,8.8,5.85,,,,5.85
240,4.75,2.9,160,2.7,240,2.7,4.55E-15,,,,4.54636E-15
270,10.8,9,600,0.1,270,0.1,-2.93,,,,-2.925
300,13.4,11.6,600,2.9,300,2.9,9.74E-16,,,,9.74221E-16
330,10.6,8.8,600,8.9,330,8.9,5.85,,,,5.85
